ADDCAR TEAM: Racing_Point, CAR: FERRARI, SPEED: 35, CONSUMPTION: 0.06, RELIABILITY: 94
ADDCAR TEAM: Racing_Point, CAR: LAMBORGHINI, SPEED: 32, CONSUMPTION: 0.06, RELIABILITY: 94
ADDCAR TEAM: Racing_Point, CAR: BMW, SPEED: 23, CONSUMPTION: 0.06, RELIABILITY: 100
ADDCAR TEAM: Hendrick_Motorsports, CAR: MACLAREN, SPEED: 53, CONSUMPTION: 2, RELIABILITY: 96
ADDCAR TEAM: Hendrick_Motorsports, CAR: MERCEDES, SPEED: 54, CONSUMPTION: 0.06, RELIABILITY: 94
ADDCAR TEAM: Hendrick_Motorsports, CAR: ASTON_MARTIN, SPEED: 123, CONSUMPTION: 0.06, RELIABILITY: 94
ADDCAR TEAM: Team_Penske, CAR: AUDI, SPEED: 34, CONSUMPTION: 3, RELIABILITY: 94
ADDCAR TEAM: Team_Penske, CAR: FORD, SPEED: 74, CONSUMPTION: 0.06, RELIABILITY: 94
ADDCAR TEAM: Team_Penske, CAR: PEUGEOT, SPEED: 52, CONSUMPTION: 0.06, RELIABILITY: 94
ADDCAR TEAM: Red_Bull_Racing, CAR: FIAT, SPEED: 54, CONSUMPTION: 4, RELIABILITY: 94
ADDCAR TEAM: Red_Bull_Racing, CAR: RENAULT, SPEED: 54, CONSUMPTION: 0.06, RELIABILITY: 94
ADDCAR TEAM: Red_Bull_Racing, CAR: HONDA, SPEED: 63, CONSUMPTION: 0.3, RELIABILITY: 94
ADDCAR TEAM: Scuderia_Ferrari, CAR: MASERATI, SPEED: 152, CONSUMPTION: 0.06, RELIABILITY: 94
ADDCAR TEAM: Scuderia_Ferrari, CAR: YAMAHA, SPEED: 65, CONSUMPTION: 5, RELIABILITY: 94
ADDCAR TEAM: Scuderia_Ferrari, CAR: JAGUAR, SPEED: 64, CONSUMPTION: 0.06, RELIABILITY: 94
START RACE!
